"prestamo.numprestamo","prestamo.numsucursal","prestamo.importe","prestamo.fecha"
"P-00020","68","122041.46","Wed Dec 26 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00021","73","10551.82","Tue Oct 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00022","23","131813.66","Mon Oct 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00029","126","7945.66","Mon Jul 02 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00036","68","103875.28","Thu Sep 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00044","73","33789.47","Mon Jun 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00051","34","139542.15","Tue Aug 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00054","51","113079.15","Fri Jul 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00060","73","124616.54","Thu Sep 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00064","37","61693.6","Fri Apr 19 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00065","68","4094","Wed Jul 23 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00077","142","130850.77","Fri Dec 06 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00078","73","132591.14","Sun Mar 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00080","22","5556.62","Wed Nov 12 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00088","73","132436.31","Tue Oct 09 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00089","92","126858.24","Sat May 03 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00095","73","53437.63","Wed Jan 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00098","89","56268.04","Wed May 07 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00113","74","137402.35","Tue Jun 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00114","142","52640.29","Sun Nov 18 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00120","74","105768.35","Thu Aug 16 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00122","141","77487.9","Fri Oct 10 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00123","92","52974.3","Thu Sep 20 2012 00:00:00 GMT-0500 (hora de verano central)"
